,guess_1,guess_2,information,expected_nb_words
0,saren,koldt,10.014474010447984,7.923040756507713
1,saren,goldt,9.992613172280471,8.04401104019764
2,saner,koldt,9.9768889289665,8.132163971552
3,ranes,koldt,9.958730198590429,8.235167735796718
4,saner,goldt,9.955196401175021,8.255364023897652
5,salen,kridt,9.942978801816938,8.32557221743343
6,ranes,goldt,9.939588045177839,8.345162767656062
7,saren,bildt,9.938358169269735,8.35227992709431
8,arnes,koldt,9.93802486318972,8.35420977866102
9,saren,mildt,9.933293798978516,8.381650907359209
10,dales,grint,9.925850524066856,8.425005977734303
11,tales,drink,9.922202533841501,8.446336355042508
12,saren,dulgt,9.911321251770989,8.510282258435494
13,arnes,goldt,9.911186394087949,8.51107780465752
14,saren,boldt,9.908722527142595,8.525625633223566
15,dales,knitr,9.9012690564904,8.56978599345902
16,tales,gnidr,9.897382813542514,8.59290187466481
17,dales,gnitr,9.892138097772245,8.624197016071527
18,tales,grind,9.890926687471394,8.631441671606252
19,lires,bandt,9.888834771629499,8.643966388348087
20,sarte,dingl,9.885643187148913,8.6631100647728
21,saner,bildt,9.883999542821726,8.672985461574543
22,sarte,mildn,9.883511329896772,8.675920926108422
23,saren,vildt,9.883166431688194,8.677995285004405
24,rades,klint,9.883137312235885,8.67817044400401
25,saner,mildt,9.880770048676382,8.692421813720763
26,saner,boldt,9.87077811968105,8.752833421823325
27,saren,voldt,9.867618250887158,8.772025361450037
28,saren,blidt,9.86699969401984,8.775787182029324
29,ranes,bildt,9.861135639005887,8.811530305968505
30,lires,tango,9.86060139647824,8.814793896547455
31,salte,drink,9.859662919673024,8.820529807878813
32,ranes,mildt,9.858724669784962,8.826268063391773
33,dales,brint,9.855737406646455,8.844562783085872
34,saner,dulgt,9.85359393873897,8.857713259288724
35,ranes,boldt,9.853582981284706,8.857780535014882
36,lires,kanut,9.849659909847913,8.88189997434468
37,salte,gnidr,9.849381484099522,8.883614257834989
38,arnes,bildt,9.84723899127096,8.896816784327337
39,saren,klogt,9.84472730901845,8.912319325936883
40,salen,krudt,9.844560305054046,8.913351060827166
41,tales,drukn,9.839879254171006,8.942318799493014
42,arnes,mildt,9.839774688897936,8.942966954416598
43,arnes,boldt,9.839382925952835,8.94539574130885
44,ranes,dulgt,9.838155663779967,8.953008588321302
45,lires,vandt,9.835056765180976,8.972260255365976
46,tures,galon,9.832433057143833,8.988592196146032
47,saner,vildt,9.826363092326812,9.026490280077944
48,saner,voldt,9.825656488267558,9.030912362843312
49,rates,dingl,9.822093447805402,9.053243675112906
50,sarte,login,9.822070318012353,9.053388821055252
51,salte,grind,9.817819162729329,9.080105570790856
52,saner,blidt,9.815823999224,9.092671516756319
53,arnes,dulgt,9.814417925891096,9.101537697632928
54,saner,klogt,9.812968783451568,9.110684503140051
55,ranes,voldt,9.812275909909516,9.1150610817999
56,ranes,vildt,9.808162374349505,9.141087811169012
57,lires,mangt,9.803163172116907,9.172818296855873
58,laset,drink,9.802655601756006,9.17604605440021
59,rates,mildn,9.798322748096831,9.203645946832765
60,ranes,blidt,9.798115050219323,9.204971046927554
61,dales,print,9.797605119915104,9.208225181166032
62,ranes,klogt,9.797352134946001,9.209840038608723
63,saren,mulkt,9.797092682698864,9.211496472229367
64,saren,glimt,9.795444317189558,9.222027173599395
65,sarte,knold,9.793463646727128,9.234696754189518
66,arnes,voldt,9.793091809074472,9.23707719525054
67,artes,dingl,9.793031055360895,9.237466188449106
68,saren,uligt,9.792437070494865,9.241270211232388
69,salte,drukn,9.791846262756831,9.245055440882762
70,sarte,kling,9.78966263746784,9.259059108886811
71,sarte,lingo,9.789658955173001,9.259082741482828
72,arnes,vildt,9.788916622994133,9.263848186355657
73,tales,grund,9.788539752377755,9.266268467928485
74,dales,intro,9.786445673426087,9.27972826833111
75,sarte,muldn,9.783185178166827,9.300724199447371
76,raset,dingl,9.778692164348,9.329734780207092
77,tales,kondi,9.777465922567295,9.337668108919337
78,saren,pilot,9.776551146027325,9.343590766272147
79,salen,grimt,9.77410195375356,9.359466391677133
80,artes,mildn,9.773132044791003,9.365760779770492
81,arnes,blidt,9.772929134986338,9.367078132561806
82,dales,grimt,9.771872072643697,9.373943903639315
83,sarte,blind,9.769733246016157,9.387851284839963
84,arnes,klogt,9.768689186812377,9.39464760680204
85,tures,knald,9.767956966067972,9.399416945869454
86,tales,brink,9.767417359989595,9.402933233802415
87,sarte,kondi,9.767401256870158,9.403038188347676
88,dales,konti,9.764030784618685,9.425031560465559
89,rates,knold,9.763540682914526,9.428233906485879
90,lires,fandt,9.761827163428663,9.439438672531404
91,laset,grind,9.760412741342881,9.448697661539157
92,lires,tukan,9.76032858182428,9.449248866761614
93,rades,klogt,9.759322102049344,9.455843327692726
94,salen,urtid,9.757575397114557,9.467298673604702
95,saner,glimt,9.757477594413585,9.46794049931335
96,dales,muntr,9.75666264046885,9.473290289082213
97,tarse,dingl,9.754252608686661,9.489128709722594
98,rates,login,9.754192764941418,9.489522331910804
99,tarse,mildn,9.753823836959226,9.491949316061124
